 Vd,Vg1,Vg2,Vg3,Vg4,Vg5,Vg6,Vg7,Vg8,Vg9,Vg10,Vg11
3.975,8.14E-09,8.20E-09,8.55E-09,8.99E-09,9.49E-09,1.00E-08,1.05E-08,1.12E-08,1.21E-08,1.30E-08,1.42E-08
4.013,8.15E-09,8.20E-09,8.56E-09,9.01E-09,9.50E-09,1.01E-08,1.06E-08,1.13E-08,1.21E-08,1.31E-08,1.42E-08
4.05,8.16E-09,8.22E-09,8.58E-09,9.03E-09,9.50E-09,1.01E-08,1.06E-08,1.13E-08,1.21E-08,1.31E-08,1.42E-08
4.088,8.17E-09,8.22E-09,8.58E-09,9.04E-09,9.53E-09,1.01E-08,1.06E-08,1.13E-08,1.22E-08,1.31E-08,1.43E-08
4.125,8.17E-09,8.24E-09,8.60E-09,9.04E-09,9.54E-09,1.01E-08,1.06E-08,1.13E-08,1.22E-08,1.31E-08,1.43E-08
4.162,8.19E-09,8.24E-09,8.60E-09,9.06E-09,9.56E-09,1.01E-08,1.06E-08,1.13E-08,1.22E-08,1.31E-08,1.43E-08
4.2,8.19E-09,8.26E-09,8.62E-09,9.06E-09,9.57E-09,1.01E-08,1.06E-08,1.13E-08,1.22E-08,1.32E-08,1.43E-08
4.237,8.21E-09,8.26E-09,8.63E-09,9.08E-09,9.57E-09,1.01E-08,1.07E-08,1.14E-08,1.22E-08,1.32E-08,1.43E-08
4.275,8.20E-09,8.28E-09,8.65E-09,9.07E-09,9.59E-09,1.01E-08,1.07E-08,1.14E-08,1.22E-08,1.32E-08,1.44E-08
4.312,8.22E-09,8.29E-09,8.66E-09,9.11E-09,9.58E-09,1.01E-08,1.07E-08,1.14E-08,1.23E-08,1.32E-08,1.44E-08
4.35,8.22E-09,8.31E-09,8.66E-09,9.10E-09,9.62E-09,1.02E-08,1.07E-08,1.14E-08,1.23E-08,1.32E-08,1.44E-08
4.388,8.25E-09,8.30E-09,8.68E-09,9.11E-09,9.61E-09,1.02E-08,1.07E-08,1.14E-08,1.23E-08,1.32E-08,1.44E-08
4.425,8.24E-09,8.32E-09,8.68E-09,9.13E-09,9.63E-09,1.02E-08,1.07E-08,1.14E-08,1.23E-08,1.33E-08,1.44E-08
4.463,8.25E-09,8.33E-09,8.70E-09,9.15E-09,9.63E-09,1.02E-08,1.07E-08,1.14E-08,1.23E-08,1.33E-08,1.44E-08
