 Vd,Vg1,Vg2,Vg3,Vg4,Vg5,Vg6,Vg7,Vg8,Vg9,Vg10,Vg11
12.675,9.18E-09,9.44E-09,9.89E-09,1.04E-08,1.10E-08,1.16E-08,1.22E-08,1.30E-08,1.40E-08,1.52E-08,1.65E-08
12.713,9.17E-09,9.45E-09,9.90E-09,1.04E-08,1.10E-08,1.16E-08,1.22E-08,1.30E-08,1.40E-08,1.51E-08,1.65E-08
12.75,9.19E-09,9.45E-09,9.91E-09,1.04E-08,1.10E-08,1.16E-08,1.22E-08,1.30E-08,1.40E-08,1.51E-08,1.65E-08
12.787,9.18E-09,9.46E-09,9.89E-09,1.04E-08,1.10E-08,1.16E-08,1.22E-08,1.30E-08,1.40E-08,1.52E-08,1.65E-08
12.825,9.19E-09,9.46E-09,9.90E-09,1.04E-08,1.10E-08,1.16E-08,1.22E-08,1.30E-08,1.40E-08,1.52E-08,1.65E-08
12.863,9.18E-09,9.47E-09,9.91E-09,1.04E-08,1.10E-08,1.16E-08,1.22E-08,1.30E-08,1.40E-08,1.52E-08,1.65E-08
12.9,9.20E-09,9.47E-09,9.92E-09,1.05E-08,1.10E-08,1.16E-08,1.22E-08,1.30E-08,1.40E-08,1.52E-08,1.65E-08
12.937,9.20E-09,9.46E-09,9.90E-09,1.05E-08,1.11E-08,1.16E-08,1.22E-08,1.30E-08,1.40E-08,1.52E-08,1.65E-08
12.975,9.19E-09,9.47E-09,9.92E-09,1.05E-08,1.11E-08,1.16E-08,1.22E-08,1.30E-08,1.40E-08,1.52E-08,1.65E-08
13.012,9.20E-09,9.46E-09,9.92E-09,1.05E-08,1.11E-08,1.16E-08,1.22E-08,1.30E-08,1.40E-08,1.52E-08,1.65E-08
13.05,9.21E-09,9.48E-09,9.93E-09,1.04E-08,1.11E-08,1.16E-08,1.22E-08,1.30E-08,1.40E-08,1.52E-08,1.65E-08
13.088,9.21E-09,9.48E-09,9.93E-09,1.05E-08,1.11E-08,1.16E-08,1.22E-08,1.30E-08,1.41E-08,1.52E-08,1.65E-08
13.125,9.20E-09,9.49E-09,9.95E-09,1.05E-08,1.11E-08,1.16E-08,1.22E-08,1.31E-08,1.41E-08,1.52E-08,1.65E-08
13.162,9.21E-09,9.48E-09,9.94E-09,1.05E-08,1.11E-08,1.16E-08,1.22E-08,1.30E-08,1.41E-08,1.52E-08,1.65E-08
13.2,9.21E-09,9.49E-09,9.94E-09,1.05E-08,1.11E-08,1.16E-08,1.22E-08,1.31E-08,1.41E-08,1.52E-08,1.65E-08
13.238,9.22E-09,9.49E-09,9.95E-09,1.05E-08,1.11E-08,1.16E-08,1.22E-08,1.31E-08,1.41E-08,1.52E-08,1.65E-08
13.275,9.21E-09,9.51E-09,9.96E-09,1.05E-08,1.11E-08,1.16E-08,1.22E-08,1.31E-08,1.41E-08,1.52E-08,1.65E-08
13.312,9.24E-09,9.50E-09,9.97E-09,1.05E-08,1.11E-08,1.17E-08,1.22E-08,1.31E-08,1.41E-08,1.52E-08,1.65E-08
13.35,9.22E-09,9.52E-09,9.95E-09,1.05E-08,1.11E-08,1.17E-08,1.22E-08,1.31E-08,1.41E-08,1.52E-08,1.65E-08
13.387,9.23E-09,9.51E-09,9.96E-09,1.05E-08,1.11E-08,1.17E-08,1.22E-08,1.31E-08,1.41E-08,1.52E-08,1.65E-08
13.425,9.23E-09,9.51E-09,9.96E-09,1.05E-08,1.11E-08,1.17E-08,1.23E-08,1.31E-08,1.41E-08,1.52E-08,1.65E-08
13.463,9.25E-09,9.53E-09,9.97E-09,1.05E-08,1.11E-08,1.17E-08,1.22E-08,1.31E-08,1.41E-08,1.52E-08,1.65E-08
13.5,9.25E-09,9.52E-09,9.98E-09,1.05E-08,1.11E-08,1.17E-08,1.23E-08,1.31E-08,1.41E-08,1.52E-08,1.66E-08
13.537,9.24E-09,9.53E-09,9.98E-09,1.05E-08,1.11E-08,1.17E-08,1.23E-08,1.31E-08,1.41E-08,1.52E-08,1.66E-08
13.575,9.25E-09,9.52E-09,9.97E-09,1.05E-08,1.11E-08,1.17E-08,1.23E-08,1.31E-08,1.41E-08,1.52E-08,1.66E-08
13.613,9.24E-09,9.53E-09,9.99E-09,1.05E-08,1.11E-08,1.17E-08,1.23E-08,1.31E-08,1.41E-08,1.52E-08,1.66E-08
13.65,9.25E-09,9.52E-09,9.98E-09,1.05E-08,1.11E-08,1.17E-08,1.23E-08,1.31E-08,1.41E-08,1.52E-08,1.66E-08
13.687,9.25E-09,9.54E-09,1.00E-08,1.05E-08,1.11E-08,1.17E-08,1.23E-08,1.31E-08,1.41E-08,1.53E-08,1.66E-08
13.725,9.26E-09,9.54E-09,1.00E-08,1.05E-08,1.11E-08,1.17E-08,1.23E-08,1.31E-08,1.41E-08,1.52E-08,1.66E-08
13.762,9.25E-09,9.55E-09,1.00E-08,1.05E-08,1.11E-08,1.17E-08,1.23E-08,1.31E-08,1.41E-08,1.53E-08,1.66E-08
13.8,9.25E-09,9.54E-09,1.00E-08,1.05E-08,1.11E-08,1.17E-08,1.23E-08,1.31E-08,1.42E-08,1.53E-08,1.66E-08
13.838,9.25E-09,9.55E-09,1.00E-08,1.05E-08,1.12E-08,1.17E-08,1.23E-08,1.31E-08,1.42E-08,1.53E-08,1.66E-08
13.875,9.27E-09,9.54E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.23E-08,1.31E-08,1.42E-08,1.53E-08,1.66E-08
13.912,9.26E-09,9.56E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.23E-08,1.32E-08,1.42E-08,1.53E-08,1.66E-08
13.95,9.27E-09,9.56E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.23E-08,1.31E-08,1.42E-08,1.53E-08,1.66E-08
13.988,9.27E-09,9.56E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.23E-08,1.32E-08,1.42E-08,1.53E-08,1.66E-08
14.025,9.29E-09,9.56E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.23E-08,1.32E-08,1.42E-08,1.53E-08,1.66E-08
14.062,9.28E-09,9.56E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.23E-08,1.32E-08,1.42E-08,1.53E-08,1.67E-08
14.1,9.28E-09,9.58E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.23E-08,1.32E-08,1.42E-08,1.53E-08,1.67E-08
14.137,9.29E-09,9.57E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.23E-08,1.32E-08,1.42E-08,1.53E-08,1.67E-08
14.175,9.29E-09,9.58E-09,1.00E-08,1.06E-08,1.12E-08,1.18E-08,1.23E-08,1.32E-08,1.42E-08,1.53E-08,1.67E-08
14.213,9.29E-09,9.57E-09,1.00E-08,1.06E-08,1.12E-08,1.18E-08,1.23E-08,1.32E-08,1.42E-08,1.53E-08,1.67E-08
14.25,9.30E-09,9.59E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.23E-08,1.32E-08,1.42E-08,1.53E-08,1.67E-08
14.287,9.29E-09,9.58E-09,1.00E-08,1.06E-08,1.12E-08,1.18E-08,1.23E-08,1.32E-08,1.42E-08,1.53E-08,1.67E-08
14.325,9.29E-09,9.59E-09,1.00E-08,1.06E-08,1.12E-08,1.18E-08,1.24E-08,1.32E-08,1.42E-08,1.54E-08,1.67E-08
14.363,9.30E-09,9.60E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.23E-08,1.32E-08,1.42E-08,1.54E-08,1.67E-08
14.4,9.30E-09,9.60E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.24E-08,1.32E-08,1.42E-08,1.54E-08,1.67E-08
14.437,9.32E-09,9.61E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.24E-08,1.32E-08,1.42E-08,1.54E-08,1.67E-08
14.475,9.31E-09,9.61E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.24E-08,1.32E-08,1.43E-08,1.54E-08,1.67E-08
14.512,9.32E-09,9.61E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.24E-08,1.32E-08,1.43E-08,1.54E-08,1.67E-08
14.55,9.31E-09,9.61E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.24E-08,1.32E-08,1.43E-08,1.54E-08,1.67E-08
14.588,9.33E-09,9.62E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.24E-08,1.32E-08,1.43E-08,1.54E-08,1.67E-08
14.625,9.33E-09,9.61E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.24E-08,1.32E-08,1.43E-08,1.54E-08,1.67E-08
14.662,9.34E-09,9.62E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.24E-08,1.32E-08,1.43E-08,1.54E-08,1.67E-08
14.7,9.35E-09,9.62E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.24E-08,1.33E-08,1.43E-08,1.54E-08,1.67E-08
14.738,9.34E-09,9.63E-09,1.01E-08,1.06E-08,1.13E-08,1.18E-08,1.24E-08,1.32E-08,1.43E-08,1.54E-08,1.68E-08
14.775,9.34E-09,9.62E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.24E-08,1.33E-08,1.43E-08,1.54E-08,1.68E-08
14.812,9.34E-09,9.63E-09,1.01E-08,1.06E-08,1.13E-08,1.18E-08,1.24E-08,1.33E-08,1.43E-08,1.54E-08,1.68E-08
14.85,9.35E-09,9.64E-09,1.01E-08,1.06E-08,1.13E-08,1.18E-08,1.24E-08,1.32E-08,1.43E-08,1.54E-08,1.68E-08
14.887,9.35E-09,9.64E-09,1.01E-08,1.06E-08,1.13E-08,1.18E-08,1.24E-08,1.33E-08,1.43E-08,1.54E-08,1.68E-08
14.925,9.35E-09,9.64E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.24E-08,1.33E-08,1.43E-08,1.54E-08,1.68E-08
14.963,9.34E-09,9.65E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.24E-08,1.33E-08,1.43E-08,1.54E-08,1.68E-08
15,9.36E-09,9.66E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.24E-08,1.33E-08,1.43E-08,1.55E-08,1.68E-08
